,bp_pos,sample,normalized_fluorescent_units,EXPERIMENT
187,389.5348837209302,Sample_1,0.20140926913876664,Control
188,393.0232558139535,Sample_1,0.19963004584316515,Control
189,396.5116279069768,Sample_1,0.1985971407161508,Control
190,400.0,Sample_1,0.1956473372084945,Control
191,404.44444444444446,Sample_1,0.1939424721383833,Control
192,408.8888888888889,Sample_1,0.1927420900094106,Control
193,413.3333333333333,Sample_1,0.19171534068818588,Control
194,417.77777777777777,Sample_1,0.19089134211320608,Control
195,422.22222222222223,Sample_1,0.19016573871965692,Control
196,426.6666666666667,Sample_1,0.18887341034865215,Control
197,431.1111111111111,Sample_1,0.18848735338556127,Control
198,435.55555555555554,Sample_1,0.18862014291045132,Control
199,440.0,Sample_1,0.1891286320109132,Control
200,444.44444444444446,Sample_1,0.18988823890310969,Control
201,448.8888888888889,Sample_1,0.19060250779710974,Control
202,453.3333333333333,Sample_1,0.1911740206235128,Control
203,457.77777777777777,Sample_1,0.19231382180661957,Control
204,462.22222222222223,Sample_1,0.19258272303730195,Control
205,466.6666666666667,Sample_1,0.19408835496447663,Control
206,471.1111111111111,Sample_1,0.19505569587427152,Control
207,475.55555555555554,Sample_1,0.19588330976376264,Control
208,480.0,Sample_1,0.19736070315326756,Control
209,484.44444444444446,Sample_1,0.19976918659625076,Control
210,488.8888888888889,Sample_1,0.20261590478473196,Control
211,493.33333333333337,Sample_1,0.2059938787839763,Control
212,497.77777777777777,Sample_1,0.20881480121486296,Control
213,502.22222222222223,Sample_1,0.21198826566620818,Control
214,506.6666666666667,Sample_1,0.21572874822861804,Control
215,511.1111111111111,Sample_1,0.21846730011536764,Control
216,515.5555555555555,Sample_1,0.22007953496502577,Control
217,520.0,Sample_1,0.2224954444594377,Control
218,524.4444444444445,Sample_1,0.22322593341313737,Control
219,528.8888888888889,Sample_1,0.22413963087247996,Control
220,533.3333333333334,Sample_1,0.22502391725971665,Control
221,537.7777777777778,Sample_1,0.22627168932214908,Control
222,542.2222222222222,Sample_1,0.22756685131804108,Control
223,546.6666666666667,Sample_1,0.22868798966137305,Control
224,551.1111111111111,Sample_1,0.2297467882571849,Control
225,555.5555555555555,Sample_1,0.23078516521156772,Control
226,560.0,Sample_1,0.2321651405316721,Control
227,564.4444444444445,Sample_1,0.23170081689497052,Control
228,568.8888888888889,Sample_1,0.23208042491866276,Control
229,573.3333333333334,Sample_1,0.23196072869497603,Control
230,577.7777777777778,Sample_1,0.2311873445231552,Control
231,582.2222222222222,Sample_1,0.2303220141093023,Control
